iter	Passed	Remaining
0	34	17236
1	60	15092
2	86	14248
3	110	13713
4	136	13502
5	160	13211
6	182	12872
7	205	12668
8	228	12475
9	253	12412
10	276	12305
11	299	12169
12	322	12081
13	347	12049
14	371	12014
15	394	11939
16	420	11952
17	443	11868
18	468	11867
19	491	11797
20	515	11753
21	537	11683
22	563	11682
23	587	11658
24	610	11600
25	636	11596
26	662	11601
27	685	11554
28	708	11514
29	734	11504
30	757	11454
31	779	11402
32	802	11350
33	826	11325
34	848	11277
35	871	11230
36	895	11205
37	918	11163
38	941	11123
39	963	11079
40	985	11038
41	1008	11002
42	1031	10964
43	1056	10945
44	1080	10920
45	1103	10889
46	1126	10852
47	1149	10820
48	1172	10788
49	1194	10751
50	1217	10720
51	1240	10687
52	1264	10661
53	1287	10635
54	1310	10602
55	1334	10580
56	1357	10553
57	1383	10543
58	1406	10512
59	1429	10479
60	1451	10446
61	1474	10415
62	1496	10383
63	1519	10351
64	1543	10329
65	1565	10297
66	1588	10266
67	1613	10253
68	1637	10228
69	1660	10200
70	1683	10172
71	1706	10141
72	1728	10111
73	1751	10081
74	1774	10054
75	1797	10026
76	1820	10001
77	1845	9984
78	1871	9971
79	1896	9954
80	1920	9932
81	1943	9904
82	1967	9884
83	1989	9854
84	2012	9826
85	2035	9800
86	2058	9771
87	2082	9747
88	2105	9721
89	2128	9694
90	2151	9669
91	2174	9642
92	2196	9614
93	2221	9594
94	2247	9580
95	2269	9552
96	2293	9528
97	2316	9501
98	2338	9474
99	2361	9446
100	2386	9428
101	2409	9402
102	2433	9378
103	2456	9352
104	2478	9324
105	2501	9297
106	2524	9271
107	2548	9251
108	2571	9223
109	2594	9198
110	2621	9185
111	2643	9157
112	2669	9141
113	2694	9123
114	2716	9095
115	2741	9074
116	2764	9048
117	2789	9028
118	2812	9005
119	2838	8988
120	2861	8962
121	2884	8936
122	2907	8912
123	2930	8885
124	2953	8860
125	2978	8840
126	3003	8822
127	3026	8796
128	3049	8771
129	3073	8747
130	3096	8720
131	3119	8696
132	3141	8669
133	3164	8642
134	3187	8617
135	3211	8596
136	3235	8573
137	3258	8546
138	3281	8521
139	3305	8500
140	3330	8479
141	3355	8460
142	3379	8436
143	3401	8409
144	3424	8383
145	3447	8357
146	3470	8333
147	3493	8308
148	3516	8283
149	3539	8258
150	3563	8235
151	3585	8209
152	3611	8189
153	3635	8168
154	3658	8143
155	3681	8118
156	3704	8093
157	3727	8068
158	3752	8047
159	3776	8026
160	3801	8005
161	3824	7980
162	3847	7954
163	3872	7932
164	3894	7907
165	3919	7885
166	3943	7863
167	3967	7841
168	3990	7816
169	4013	7790
170	4035	7765
171	4058	7739
172	4081	7714
173	4104	7690
174	4128	7666
175	4151	7641
176	4173	7616
177	4196	7591
178	4218	7565
179	4242	7541
180	4264	7515
181	4287	7491
182	4310	7466
183	4333	7441
184	4355	7416
185	4379	7393
186	4402	7368
187	4425	7343
188	4447	7318
189	4470	7293
190	4492	7268
191	4515	7244
192	4538	7219
193	4561	7194
194	4584	7169
195	4606	7145
196	4629	7121
197	4652	7096
198	4678	7076
199	4700	7051
200	4723	7026
201	4746	7001
202	4768	6976
203	4791	6951
204	4814	6928
205	4837	6903
206	4860	6880
207	4884	6856
208	4907	6833
209	4930	6808
210	4954	6785
211	4977	6761
212	5000	6737
213	5022	6712
214	5048	6692
215	5071	6667
216	5094	6643
217	5117	6619
218	5140	6595
219	5163	6571
220	5185	6546
221	5209	6523
222	5231	6498
223	5254	6474
224	5279	6452
225	5302	6429
226	5325	6404
227	5348	6381
228	5371	6356
229	5397	6335
230	5420	6312
231	5443	6288
232	5466	6264
233	5492	6243
234	5515	6219
235	5539	6197
236	5562	6173
237	5585	6148
238	5608	6124
239	5631	6100
240	5654	6076
241	5676	6052
242	5699	6028
243	5722	6004
244	5745	5980
245	5769	5956
246	5794	5934
247	5816	5910
248	5839	5886
249	5861	5861
250	5884	5837
251	5907	5814
252	5930	5790
253	5954	5766
254	5976	5742
255	6000	5719
256	6024	5695
257	6048	5673
258	6073	5651
259	6095	5627
260	6120	5604
261	6143	5580
262	6166	5556
263	6188	5532
264	6211	5508
265	6234	5484
266	6260	5463
267	6282	5438
268	6305	5414
269	6328	5391
270	6351	5367
271	6376	5344
272	6399	5320
273	6421	5296
274	6445	5273
275	6467	5249
276	6492	5227
277	6515	5202
278	6538	5179
279	6561	5155
280	6584	5131
281	6606	5107
282	6629	5083
283	6652	5059
284	6675	5035
285	6701	5014
286	6724	4990
287	6747	4966
288	6769	4942
289	6792	4918
290	6818	4896
291	6840	4872
292	6863	4849
293	6886	4824
294	6911	4802
295	6935	4779
296	6958	4755
297	6983	4733
298	7007	4710
299	7032	4688
300	7055	4664
301	7078	4640
302	7100	4616
